url,maintext_translated,title_translated
https://www.eldiario.ec/noticias-manabi-ecuador/216503-salma-hayek-una-estrella-latina-para-los-premios-goya-del-cine-espanol/,"In this way, the performer of films such as ""Frida"" (2002) or ""Desperado"" (1995) shares a leading role in an edition of the Goyas where almost all the looks converge on Pedro Almodóvar's ""La piel que habito"", the tape that accumulates the most nominations, with a total of 16.In the nominations announced today in Madrid, Hayek meets his old acquaintance Antonio Banderas, with whom he has coincided in several","Salma Hayek, a Latin star for the Goya awards of Spanish cinema"
https://www.aljazeera.com/news/2012/1/7/jamaica-to-cut-ties-with-british-monarchy,"New prime minister says country will establish itself as a republic and break ties with former colonial power.
Jamaica’s new prime minister has said that it is time for her country to cut ties with the British monarchy and declare itself an independent republic.
Speaking at her inaugural address on Friday, Portia Simpson Miller, said her government would “initiate the process of detachment from the monarchy”, establishing a republic with a president as head of state, and breaking off links with the former colonial power.
Jamaica is a constitutional parliamentary democracy and also a Commonwealth realm.
“I love the Queen. She’s a beautiful lady and apart from being a beautiful lady a wise lady and a wonderful lady. But I think time come,” Simpson Miller said.
Currently under Jamaica’s constitution, Britain’s Queen Elizabeth II is the head of state, and the prime minister is formally appointed by the governor-general, who represents the queen.
The announcement comes ahead of celebrations to mark 50 years of the country’s independence from the UK.
Economic crisis
Simpson Miller, taking over for her second term as prime minister, won a landslide victory in an election last week that largely pivoted on public discontent with Jamaica’s ailing economy and massive debt.
The unemployment rate currently stands at about 13 per cent, up from under 10 per cent in 2007, when the centre-right Jamaica Labour Party, the previous ruling party, won power.
Its public debt stands at $18.6bn of gross domestic product.
“In the short and medium term, we will use all state resources to stimulate employment through the Jamaica Emergency Employment Program,” Simpson Miller said after taking the oath of office.
“We will do so in a transparent and non-partisan manner.”
Nearly half of all Jamaicans (43 per cent) live under the poverty line of $2.50 per day, according to an International Monetary Fund (IMF) report.
Reaching a new agreement with the IMF on Jamaica’s debt is one of the new government’s top priorities, Omar Davies, the official in charge of the transition, told reporters on Wednesday.
New talks with the global lender are set to begin on Monday, with Jamaica represented by Peter Phillips, the country’s new finance minister. Phillips has held several cabinet posts in previous administrations.
In the December 28 election, Simpson Miller’s People’s National Party secured 41 seats, two-thirds of the total, in the House of Representatives.
She succeeds Andrew Holness, 39, the youngest-ever prime minister of the country.",Jamaica ‘to cut ties with British monarchy’
https://listindiario.com/la-republica/2012/01/10/217582/vaguada-que-incide-sobre-el-pais-se-debilita.html,"The void that is located on the country has been weakened in the north of the national territory, but it is combined with the east/northeast wind, so it will continue to affect the atmospheric weather. In this sense, the National Bureau of Meteorology foresees the occurrence of weak and isolated rains, especially on the north-east, south-east, Cibao Valley and the central, north and eastern mountain ranges, waiting for a",Vaguada that affects the country weakens
https://www.prothomalo.com/bangladesh/নরসিংদীতে-ভোট-না-দেওয়ায়-ব্যবসায়ীকে-কুপিয়ে-আহত,"An election violence took place a day after the mayor of Norsingdi city, who was injured by a sharp gun in his attack, Pintu Saha (35), who was first admitted to Nosingdi Sadharawad Hospital in Nagasingdi, Dhaka, and then Sohharawad Hospital, yesterday, when the incident took place at Nosingdi market district, as supporters of the newly elected mayor Kamuzu Kamuzu Kama.","In Norsingdi, the businessman was beaten to death."
https://web.archive.org/web/20130511141040/http://euronews.com/2012/01/28/dakar-quiet-after-stormy-night-in-senegal-presidency-row/,"Calm has returned to streets of Senegal’s capital city, even though the opposition has vowed to continue its fight against President Abdoulaye Wade’s plan to run for a third term.
Security has been stepped up after a night of rioting in Dakar left one policeman dead.
The unrest was the result of the decision by the country’s highest court allowing Wade to run for president a third time, despite the constitution only allowing two terms. Wade argues his first term began a year before the constitutional amendment limiting the number of times in office.
Friday started peacefully enough with the president’s opponents, including famous singer Youssou N’Dour, holding a rally as they waited for the court’s decision.
N’Dour’s candidacy has been rejected because the judges ruled he did not get the necessary 10,000 signatures, but the singer said he would appeal the decision.
Wade has made a number of changes to the constitution since he came to power in 2000, including shortening presidential terms from seven years to five, then changing them back to seven.
Copyright © 2013 euronews",Dakar quiet after stormy night in Senegal presidency row
https://www.ultimahora.com/se-produjo-el-mayor-robo-obras-arte-del-paraguay-n496778.html,"Those affected. Ramón and Juan Duarte Burró teach the images that were not stolen. Photo Julio AguirreYesterday, the architect Ramón Duarte Burró realized that more than 120 pieces of sacred art were stolen from him. This fact is considered the largest theft of cultural property in the country, according to the Cria. Enciso Norma, member of the National Commission to Combat Illicit Trafficking in Cultural Property.More than four centuries of culture",The greatest theft of works of art in Paraguay occurred
https://www.prothomalo.com/old-prothomalo/পূরণ-করতে-পারব-না-এমন-স্বপ্নের-কথা-বলব-না:-ওবায়দুল,"“I don’t want to have any new dream,” said the Minister of Communications Obaidul Khan, “I’m not going to be able to fulfill any more.” Today, Opennas Uniti (DrU) in Miltanya, the head of the Department of Communications, organized by the Dhakan Journalists Association for Our Affairs: Integrement: Our Order of Information, Karbodul said that the minister will not be the only",I'm not going to dream I can't fulfill: Obaidul
https://www.1in.am/55276.html,"The ""Free Democrats"" initiative is important for the creation of the ""Resource"" and the HYD, 100 percent of the legislative community to be held through the common electoral system and will be present in the future.","In addition to making fair choices, however, there is no need for judges to be fair."
https://www.deccanherald.com/content/222564/toroloco-outguns-opposition.html,"Irfan Ghatala won his second straight Bangalore Winter Derby as his ward Toroloco romped home in the season’s biggest event on a rather sober day at the Bangalore Turf Club on Friday.
PS Chouhan piloted the Vikram and Nirmal Singh-owned colt brilliantly over the straight to take home the cash prize of Rs 32,70,000. Outside bet Nearness Of You, trained by S Padmanabhan, came in second while Hyderabad horse Golden Rule (Stephane Pasquier up) took third. Favourites Forever Glory (CD Hayes up) and Maddox, steered by YS Srinath, disappointed the punters, finishing fourth and fifth respectively.
“It was a really slow run race and my only worry was if Toroloco would get caught up in the middle bunch and get clipped,” an elated Ghatala, who won last year with Sun Kingdom, said after the race. “But Chouhan rode him well and I’m really happy with the victory.” Toroloco won in a time of 2:35.35.
After the first five races were completed on a sleepy Derby day, Ganapathy-trained Forever Glory and Neil Darashah-ward Maddox, expectedly, opened up as the two favourites.
Forever Glory was the first favourite with odds of 5/2 while Maddox was not far behind at 17/4. Toroloco was not being heavily backed, doubts over the colt’s ability to stay the distance leading to him closing on 8/1. Ghatala’s other horse in the field, Zultanite, showed better odds of 6/1.
Pacesetter Gold Venture, the stablemate of Forever Glory, took up the running with Maddox and Absolut Grey tucking in right behind. Forever Glory was nicely placed in fourth while Toroloco was running sixth.
As the horses reached the halfway mark, the positions hardly differed, the favourites waiting for the final bend to make their move.
That move came right at the straight, with Summer Derby winner Srinath urging Maddox on. CD Hayes also made his move on Forever Glory and it looked as if it was going to be a straight shootout between the favourites as the pacesetters fell behind. But with 800 metres to go, Toroloco and Golden Rule made their move on the outside, the former putting on a brilliant burst to pull away from the middle group.
Soon after, any doubts about Toroloco not being able to stay the distance were immediately banished when the colt not only caught up effortlessy with the front pack, but coasted past Golden Rule and Maddox to take the lead which he would not relinquish. Nearness Of You (David Allan up), Golden Rule and Forever Glory finished together with the Padmanabhan ward taking second, a head ahead of Golden Rule but a massive three-and-a-half lengths behind the winner. Golden Rule, trained by Leo D’Silva, beat out Forever Glory to third by a short head.
“I think the biggest thing that went our way today was the pace of the race. It was perfect,” Chouhan observed. “I had absolutely no doubts about his staying power. I had ridden him in a mock race over the same distance and he showed no problems.
“The only thing that worried me was getting caught up in traffic. But the moment I told my horse to go for it, he galloped away and the result was never in doubt after that,” the Summer Season’s champion jockey added.
Results:
1. Nethravathi Trophy (Div II) -- 1400M: Young Achiever (Seraj Anwar & Yogesh Kumar’s) Suraj Narredu 1; Unique Show (Srinath) 2; Claara (I Chisty) 3; Red Hot (J Pradeep) 4; WB: 1-3/4, 5-1/2, 3/4L; T: 1:28.30; Tote: Rs 19w, Rs 12, Rs 16, Rs 23p; TB: S Narredu; Fav: Young Achiever; Fc: Rs 34; Q: Rs 36; SHP: Rs 40; Tri: Rs 173 and Rs 126.
2. Indian Republic Trophy -- 1400M: Hill Dioro (Rakesh Kumar Wadhawan & Waryam Singh rep Wadhawan Livestock Pvt Ltd’s) Suraj Narredu 1; Moves Goodenough (CD Hayes) 2; Sunstorm (Anjar Alam) 3; Magnitude Star (Srinath) 4; Not run: Yas Marina; WB: 1-3/4, 4-3/4, 1L; T: 1:26.64; Tote: Rs 13w, Rs 12, Rs 92p; TB: I Ghatala; Fav: Hill Dioro; Fc: Rs 141; Q: Rs 56; SHP: Rs 150; Tri: Rs 482 and Rs 143.
3. NRCE Cup -- 1400M: Borsalino (Mrs Sharmila Padmanabhan & S Padmanabhan rep Radiant Bloodstock Pvt Ltd & Byram N Jeejeebhoy rep Byramjee Jeejeebhoy Pvt Ltd’s) M Dwyer 1; Sandstorm (Anthony C) 2; Clever Trick (Srinath) 3; Knowledge (Vivek) 4; Not run: Super Storm; WB: 5-1/4, 3L, Long nk; T: 1:27.14; Tote: Rs 16w, Rs 11, Rs 13, Rs 34p; TB: Padmanabhan; Fav: Borsalino; Fc: Rs 26; Q: Rs 22; SHP: Rs 27; Tri: Rs 122 and Rs 96.
4. Bharachukki Cup -- 1200M: Flying Snow (Capt Jamshed J Appoo, Subir Dasgupta & Gautam Kotwal’s) M Dwyer 1; Bryant Park (Harish) 2; Sutton Prince (Ashok Kumar) 3; Right On Time (PS Chouhan) 4; Not run: Ibelieveinmiracles; WB: 7-1/2, 1-1/4, 2L; T: 1:14.95; Tote: Rs 32w, Rs 13, Rs 41, Rs 27p; TB: A Mangalorkar; Fav: Somerset Rose; Fc: Rs 664; Q: Rs 252; SHP: Rs 159; Tri: Rs 3,641 and Rs 1,320; Exp: Rs 9,966 and Rs 2,848.
5. Nethravathi Trophy (Div I) -- 1400M: Rappadan Glory (Capt Jamshed J Appoo’s) Appu 1; Ibelieveinmiracles (Suraj Narredu) 2; The Jaguar (Kiran Rai) 3; Apollo King (S Selvaraj) 4; WB: 1-1/4, 1/2, 4L; T: 1:29.10; Tote: Rs 48w, Rs 16, Rs 12, Rs 31p; TB: Nityanand; Fav: Ibelieveinmiracles; Fc: Rs 94; Q: Rs 27; SHP: Rs 42; Tri: Rs 345 and Rs 229.
6. Bangalore Derby (Grade I) -- 2400M: Toroloco (Vikram Singh & Nirmal Singh’s) PS Chouhan 1; Nearness Of You (David Allan) 2; Golden Rule (S Pasquier) 3; Forever Glory (CD Hayes) 4; WB: 3-1/2L, Hd, Sh; T: 2:35.65; Tote: Rs 115w, Rs 31, Rs 47, Rs 55p; TB: I Ghatala; Fav: Forever Glory; Fc: Rs 3,397; Q: Rs 2,724; SHP: Rs 145; Tri: Rs 43,050 and Rs 6,007; Exp: Rs 60,373 and Rs 15,524.
7. Vidhana Soudha Cup (Div I) -- 1400M: Smart Exotic (Usman Faheed F, Faraz Arshad & Vikram Singh’s) S Fargeat 1; Fist Of Rage (Jagadeesh) 2; Kripa (Noornabi) 3; Sun Dancing (Anjar Alam) 4; WB: 3/4, 1-1/2, 1/2L; T: 1:28.13; Tote: Rs 80w, Rs 25, Rs 38, Rs 33p; TB: Faraz Arshad; Fav: Indravati; Fc: Rs 1,561; Q: Rs 292; SHP: Rs 122; Tri: Rs 4,508 and Rs 1,691; Exp: Rs 48,696 and Rs 20,869.
8. Mysore Race Club Trophy -- 1600M: String Along (Dr MAM Ramaswamy’s) CD Hayes 1; Immense (S John) 2; Spearhead (Anthony C) 3; Midtown Magic (PS Chouhan) 4; WB: 1, 1-3/4L, Nk; T: 1:38.73; Tote: Rs 124w, Rs 30, Rs 14, Rs 20p; TB: Ganapathy; Fav: Immense; Fc: Rs 263; Q: Rs 147; SHP: Rs 44; Tri: Rs 684 and Rs 262.
9. Vidhana Soudha Cup (Div II) -- 1400M: Thrillseeker (PS Ranganathan, Mrs Veena Malhotra, R Neelakandan & G Vinay Kumar’s) Prabhakaran 1; Sunset Grill (Anjar Alam) 2; Mark Of Genius (P Mani) 3; Emerald (S John) 4; 1-3/4, 1, 4-1/2L; T: 1:27.48; Tote: Rs 70w, Rs 23, Rs 20, Rs 34p; TB: Neil Darashah; Fav: Amazer; Fc: Rs 266; Q: Rs 160; SHP: Rs 57; Tri: Rs 5,714 and Rs 3,673; Exp: Rs 16,396 and Rs 6,324.
Jackpot: Rs 339,214 (3). Runners: Rs 10,143 (43). Mini-jackpot: Rs 2,379 (24). I treble: Rs 200 (152). II treble: Rs 46,206 (1).",Toroloco outguns opposition
https://web.archive.org/web/20181226065350/http://capitalethiopia.com/2012/01/09/eepco-to-replace-all-meters-with-smart-ones/amp/,"Project will cost 9 bln br
The state power monopoly, the Ethiopian Electric Power Corporation (EEPCo), awarded a nine billion birr project to the Metal and Engineering Corporation of Ethiopia (MetEC) to fully replace the existing post and pre paid electric meters with new “smart” meters, imported from India.
The two parties are in discussion to start planting the smart cards throughout the country. Based on the deal MetEC will replace the old, analogue meters that are read manually once every three months with new and digital smart meters that automatically capture information about electricity consumption and transmit it back to EEPCo.
According to sources, the metal corporation, formed by a collection of seven industries under the Ministry of Defence, already employed about 2,000 workers that will replace the existing meters with the new smart ones.
The employees who install the meters will be paid per piece installed in every household. EEPCo has almost two million registered customers throughout the country.
Misikir Negash Public Relations Head of the Corporation said that the two parties are working on the details of the procedures. “Apart from that I cannot give you further details about the project because it is in its early stage,” Misikir added.
Smart Meters are different than pre paid ones because they have real-time sensors, power outage notification capability and power quality monitoring, which utilizes two-way communication between the meter and the central system. They can also be used as water meters.
In 2007 EEPCo announced that it completed preparation to replace all the existing post paid meters with pre paid ones. To accomplish this, EEPCo established Electrometer, a prepaid electric meter manufacturing company in 2008 with Elsewedy an Egyptian electric cable company. Electrometer was established with 88.2 million birr. It has a capacity of producing 20,000 prepaid electric meters annually.
Recently, MetEC also agreed with the state monopoly, to produce the power factor correctors, a device that ensures the efficient use of power. It will be installed in all industries in the country in the coming year. The metal corporation is also undertaking the electromechanical work of the Great Renaissance Dam project that is under construction by Salini Consturttori, an Italian construction firm, at a cost of 4.8 billion dollars.
EEPCo requires a whooping 182.2 billion birr for power generation, transmission and distribution system expansion to achieve objectives envisioned in the country’s five year governing economic plan, the Growth and Transformation Plan (GTP) that will be completed by 2015. From a total amount of envisioned budget, the biggest share of 122.8 billion birr will be committed to constructing dams and harnessing other power generation schemes such as geothermal, wind and solar powers.",EEPCo to replace all meters with smart ones
http://www.laprensa.hn/content/view/full/44453,"Many times tragedies are the end for many human beings. For others, they are opportunities to be better in life or challenges to overcome and be an example of overcoming for the world. They are four exceptional women. Stories worthy of telling. Four ladies who with their testimony reflect that the unwavering conviction in God can do everything and for this reason, on the coming Women's Day, Living in Rosa tells them life lessons of women who radiate faith.Donnamae Gómez suffers from",Sampedran women who radiate faith
https://kp.ua/incidents/318864-odesskyi-batuishka-na-mersedese-snes-pochtovyi-avtomobyl,"A major accident took place on 6 January at around 11 a.m. at the intersection of the streets of Prebragen and Uppine, due to the non-working traffic light and the traditional resistance of the drivers of expensive cars at the intersection, three cars ""received"" at the intersection.",Odessa's father on Mercedes took down a mail car.
https://www.thehindu.com/features/kids/cool-champ/article2912553.ece,"
Mysore: Meet Anagha, a whiz on the comp.
",Cool champ
https://tribune.com.pk/story/332083/protest-and-rallies-jst-to-hold-%e2%80%98million-march%e2%80%99,"We will organise a rally in Karachi on March 18 to protest against slavery imposed by the establishment on the people of Sindh, said the Jeay Sindh Tehreek (JST) president Safdar Sarki while speaking at a press conference on Friday. He added that they will march from Numaish to Tibet Centre. “Sindh generates more than Rs2,000 billion annually for the nation’s exchequer but its people are facing, poverty, famine, lawlessness and unemployment,” he said.Published in The Express Tribune, February 5, 2012.",Protest And Rallies: JST to hold ‘million march’ 
https://www.publika.md/ministerul-sanatatii-va-anunta-din-ce-motiv-a-decedat-copilul-de-13-ani-in-timpul-operatiei-de-extirpare-a-amigdalelor_712691.html,"The causes of the deaths of the 13-year-old child, during the removal of friends, will be presented by the Ministry of Health. This, just 10 days after the child's death. The information was confirmed by the Minister",The Ministry of Health will announce why the 13-year-old child died during the amorous expropriation operation
https://www.1in.am/61586.html,"Last week’s reporter, Ara Babylonan, apologized that he had been shot in the courts for someone else, and it's hard to say if he wasn't able to get a job.",The Light Bearers
https://tribune.com.pk/story/331908/time-flies-when-you-are-standing-still,"1974 was a long time ago. But not really. I remember it vaguely. No, not the headlines, or the events, or even humdrum happenings, but my first two-wheeler bicycle.While I was learning to balance on my green Sohrab bike, the historic Islamic summit was taking place in Lahore; India was conducting its first nuclear test; US president Richard Nixon was resigning from office; Muhammad Ali was knocking out George Foreman in the ‘Rumble in the Jungle’ fight; Germany was lifting the FIFA World Cup; and Abba was winning the Eurovision music contest.All this a mere 38 years ago. A long time. But not really.Now let’s look forward. 38 years from now will be the year 2050. If I am still alive, I will be a very old man and 1974 — and my green Sohrab bike — would seem a lifetime ago. But in 2050, the year 2012 would be as recent as 1974 today.What then is the connection?In 1974, America’s was the largest economy in the world, followed by the Soviet Union, then Japan at number three, West Germany at four and France at five. China was the ninth-largest economy and India at number thirteen.In 2050, the global research department of HSBC has made the following projections for the top economies of the world: China tops the list, followed by USA at second, India three, Japan at four, Germany at five and — here’s the interesting part — Pakistan thirtieth.Here’s how the report explains: “There are two ways economies can grow; either add more people to the production line via growth in the working population, or make each individual more productive.” Then it mentions the ingredients for success: “Demographics — the size of your working population — along with the opportunities to flex that muscle help determine long-term economic trends.... Education opportunities, democratic governments or strong rule of law.”So in 2050, the number one and number three economies of the world will have — among others — one thing in common: they will both share a border with Pakistan. We, therefore, are in an enviable position, and ideally placed to leverage this huge geographical bonanza.Now let’s return to 2012. Political uncertainty blankets the country like a thick smog . The economy is in shambles. Human development indices are nose-diving and Millennium Development Goals are already beyond reach. Social sectors like education and health are groaning under the burden of criminal neglect while the population growth is outstripping GDP growth. And how concerned is the leadership?Well, the Senate elections next month appear to be the ultimate high for the government . Then if all goes well (sic), we will have a politically-popular but economically-ruinous budget, followed possibly by general elections. A fractured coalition government will return, and we will be back to where we were.There is a clear disconnect between 2012 and 2050 when it comes to Pakistani leadership. A disconnect borne of living for the moment and being a willing hostage to personal, familial and political vested interests. On paper, Pakistan is a lucky country and has all the ingredients to become a regional powerhouse by 2050. A youthful population offering the economic fruits of a demographic dividend, sufficient natural resources waiting to be exploited, a growing middle class unencumbered by the pitfalls of a backward and medieval feudal mindset, a rapid rate of urbanisation and endless possibilities to reap the advantage of proximity to the world’s largest and third-largest economies.What more could any country want.Well actually, a leadership with its head screwed on right. A leadership which realises Pakistan requires a strategic reorientation to leap forward and rise to its potential. A leadership which recognises we require peace with all our neighbours and by peace I don’t mean just an absence of war, but real peace which spurs free trade, social harmony and cultural cooperation.There’s a brave new world waiting for us 38 years from now. It is there for us. But more so for our children, who today are learning how to ride that green Sohrab bicycle.Thirty-eight years is a long time. But not really.Published in The Express Tribune, February 5, 2012.",Time flies when you are standing still 
https://www.prothomalo.com/old-prothomalo/‘ইসলামের-খেদমত’-করতে-আবার-ক্ষমতা-চান-এরশাদ,"He called on students who were found in the Master of the National Party for another opportunity to ""responsible Islam"" to be in power once again, on Thursday, at the age of 34, when he said that ""I would like to have more Islam in power.""",Wants Ershad to 'test Islam' again
