final_model_input_text,Event_coding,labels
"The National Institute of Statistics (Instat) and the National Society for Tobacco and Matches of Mali (Sonatam) have signed a memorandum of understanding on the collection and processing of statistical data on tobacco products on the study of the collection of empty cigarette packets.. Malijet Study on cigarette smuggling in Mali: Guinea, Algeria and Burkina Faso are the largest providers of illegal cigarettes in Mali Bamako Mali",transnational_organization_crime,21
"Sylhet is a safest route to heroin. And this drug trade is in London, UK.. In London, heroin's safe route, Sylhet Godfather, lives in London.",transnational_organization_crime,21
"In the investigation, the members of Mersin County Gendarme Command took in intelligence that a group of members of some criminal organization who worked at the port had brought in large amounts of cocaine from Ecuador and Colombia via freighters, and that there was an organization that was able to smuggle it into the country with the help of some members of the port. Investigating the issue began.. In Mersin, hot hours: International drug traffickers are under operation!",transnational_organization_crime,21
"Dark web is that part of the internet which cannot be accessed by ordinary search engines, and is used for illegal activities like buying drugs, hacking accounts, among others.A 21-year-old from Lucknow, an operative of one of the biggest illegal drug markets on the dark web , was arrested by the Narcotics Control Bureau (NCB) on January 31. As per the NCB, the accused, Dipu Singh, is India s first narcotics vendor on the dark web to be caught and has allegedly sold drugs through medical suppliers in India and third-party vendors all over the world. Dark web is that part of the internet. Delhi: 21-year-old drug dealer operating through the dark web arrested",transnational_organization_crime,21
"JOHOR BARU: Two individuals believed to be the masterminds of a human trafficking syndicate have been arrested in Pontian about 50km from here.Johor Immigration director Baharuddin Tahir the suspects were detained on Thursday (Nov 9) at 11.45pm. They were apprehended in a house there used as a transit point for the illegal immigrants from Indonesia to leave the country using jalan tikus (backdoor routes),"" he said in a statement.Baharuddin said the Immigration Department together with the Pontian police district headquarters have been monitoring the activities at the house for two weeks.He. Johor cops nab alleged masterminds of human trafficking syndicate",transnational_organization_crime,21
"File Photo: Nigerians hiding faces in humiliationBy Biodun BusariA Cypriot journalist Esra Aygin has revealed that Nigerians become victims of trafficking, sex slavery, and abuses including killings in the hands of their compatriots in Cyprus.Aygin said most of them who are students travel to Cyprus do so because of many promises their fellow Nigerians have for them but eventually do not work out.Read also: NDYA to Nigerians: Rethink before embarking on trip to northern CyprusThe journalist disclosed this in reaction to a statement by the Chairperson, Nigerians in Diaspora Commission. Nigerians behind trafficking, assaults of their countrymen in Cyprus - Cypriot journalist",transnational_organization_crime,21
"The file on sex trafficking in Turkey from the United States media: How did the young mother escape from Istanbul? A large number of women come to Turkey to work as nurses or cleaners from Kyrgyztan. However, the story of the mother of two children 26 was much darker.. US media file on sex trafficking in Turkey: How did the young mother escape from Istanbul?",transnational_organization_crime,21
"In Dubai, Bangladesh, there is a terrible story about the trafficking of women in the Middle East. Young women trapped in the dance club owners are forced into prostitution by the money.. Exacting the horrible secrets of trafficking of women in Dubai - Middle East",transnational_organization_crime,21
"The drug dealer loaded the child on his back to pass the border wall and, after a few minutes, the unidentified man returns to Mexican territory leaving the child to his fate.. VIDEO: They catch a drug dealer when he leaves a 7-year-old Salvadoran girl on the U.S. border.",transnational_organization_crime,21
"Law enforcement officials from India, Bhutan, and Nepal are participating in a nine-day workshop aimed at training them in combating wildlife trafficking in South Asia.The first Training of Trainers (ToT) workshop that is part of this project, commenced on November 21 in Dehradun, Uttarakhand and will conclude on November 29 in New Delhi, officials said.Organized by TRAFFIC India and WWF-India, in collaboration with the South Asia Wildlife Enforcement Network (SAWEN) and the Wildlife Crime Control Bureau (WCCB) of the Government of India, the workshop aims to strengthen and enhance the. India, Bhutan and Nepal collaborate to curb wildlife trafficking in South Asia",transnational_organization_crime,21
"IPOH: Ten men, including five Indonesians, were jointly charged at the Sessions Court here with human trafficking.The accused - Tan Ke Huat, S. Ananthan, PA Suresh, S. Sivalingam, Mohd Johan Musa, Eko Rahmadani, Erfanni, Tuah, Siprianus Nahak Lutan and Klau Norfrianus Erick - pleaded not guilty after the charge under Section 26A of the Anti-Trafficking in Persons and Anti-Smuggling of Migrant Act 2007, together with Section 34 of the Penal Code, was read before Judge Azizah Ahmad on Tuesday (July 25).If convicted, the accused could be jailed up to 20 years or fined, or both.The accused, aged. Five foreigners among 10 charged with human trafficking in Ipoh",transnational_organization_crime,21
"KUALA NERANG: Police have identified private plots of land along the Malaysia - Thailand border used by smugglers to enter the country.Kedah police chief Datuk Zamri Yahya said the plots of land, whether owned by individuals or private companies, did not have proper security systems including fences or security walls.He said police have met with some of the owners to discuss the matter and will continue to check on them to ensure border safety.He said that in the Durian Burung area alone, police have identified more than 20 rat lanes used by smugglers to cross the country s border including. Smugglers' lanes rife along Malaysia-Thai border, say Kedah police",transnational_organization_crime,21
"The Kapitan Andreevo border post, one of the busiest in Europe, is more than 150 kilometres from the nearest sea, but Bulgarian customs officer Georgi Gospodinov is on the lookout for dinghies. HT ImageThe crossing between Turkey and Bulgaria is also more than 2,500 kilometres from the English Channel, where Britain has sought to halt a record number of undocumented migrants crossing in small boats.Gospodinov and other customs officers at the Kapitan Andreevo post have made a key contribution to that campaign.In a little over a year, 52 motors, 49 rubber boats, 755 hand pumps and 110 life. From Bulgaria to the English Channel: tracing trafficked migrant boats",transnational_organization_crime,21
Immigration officers intercepted six suspected female trafficking victims at the Iloilo international airport who attempted to leave the country for Lebanon where they were illegally recruited to work as domestic helpers. BI Commissioner Jaime Morente said the women were stopped at the departure area of the Iloilo International Airport as they were about to board a Cebu Pacific flight to Hongkong.. 6 trafficking victims rescued,transnational_organization_crime,21
"Delhi Police officials on Friday found 130kg of heroin from a cargo container at a customs warehouse in Navi Mumbai, the third major recovery of the contraband being smuggled in from an Afghanistan-based syndicate busted last week.The police also announced the arrests of an Afghan national and a man from Bulandshahr who is believed to have overseen the distribution within India.The operation is one of the biggest cartels operating in the country in all, 330 kg of heroin valued at 1,300 crore has been found from three raids and 10 men arrested. The drug was transported as a basil seed. Delhi police seize 130kg heroin in Navi Mumbai warehouse",transnational_organization_crime,21
"On Sunday evening, the Court of First Instance of the Oran District Court handed down a sentence of 3 years &apos; imprisonment and 1 million dollars &apos; fine in force for a lawyer, for involvement with a foreign gang leader sought for him and a third accused of international smuggling of Syrians who had been illegally deported from Libya to Algeria, while in absentia convicted the fugitives of 20 years &apos; imprisonment in force with fines. The facts of the case dated from. A trial that reveals the activities of a Syrian smuggling network in Algeria",transnational_organization_crime,21
"KUALA LUMPUR, July 4 Malaysian authorities have rescued hundreds of smuggled tortoises meant for sale in South-east Asia, disrupting an international crime ring called the Ninja Turtle Gang , a wildlife official said Thursday.Abdul Kadir Abu Hashim, wildlife and national parks department director-general, said 400 tortoises worth RM3.8 million bound for the lucrative exotic pet trade were seized during an operation by the police and wildlife officials on Saturday.Across Asia, many believe that tortoises bring good luck and prosperity. This is the biggest ever seizure in the past 10 years,. Malaysia rescues hundreds of smuggled tortoises worth RM3.8m from Ninja Turtle Gang crime ring",transnational_organization_crime,21
"Brazilian federal police said they have arrested Saifullah Al-Mamun, born in Bangladesh and considered by authorities as one of the world's most prolific human traffickers.In an operation conducted on Thursday after collaboration with US Immigration and Customs Enforcement (ICE), Brazilian police arrested members of a group allegedly implicated in a large scheme of smuggling people into the United States.Several arrests were made in Sao Paulo, where Al-Mamun was living, and in three other Brazilian cities. The police also froze 42 bank accounts it says were used by the group to finance their. Brazil police arrest one of world's most prolific human traffickers",transnational_organization_crime,21
"December 3, 2024, 9:57 am KUALA LUMPUR: The two Malaysians claimed to be human trafficking unions in Myanmar and no one else could contact them after their arrival in Thailand.. The syndicate asked for RM80,000, RM30,000",transnational_organization_crime,21
"Dozens of trafficked Indonesian nationals across multiple Southeast Asian countries were rescued last week after being held hostage and forced to perform online scams, the Foreign Ministry said over the weekend, as ASEAN continues to ramp up its efforts to eradicate the increasingly popular crime.So far Indonesia has repatriated 26 trafficking victims from Myanmar, 37 from Laos and a portion of the total 240 victims in the Philippines.Southeast Asian countries have seen a sharp increase in numbers of human trafficking cases since the beginning of the coronavirus pandemic, when economic. Dozens of trafficked Indonesians repatriated",transnational_organization_crime,21
"In a major crackdown on gangsters, the National Investigation Agency (NIA) raided six Uttar Pradesh districts Baghpat, Bareilly, Pratapgarh, Bulandshahr, Lucknow and Pilibhit on Tuesday. For representation only (HT File Photo)These gangsters were said to be working in tandem with terrorist groups and drug smugglers based in foreign countries, including Pakistan and Canada.The raids in Uttar Pradesh were part of a nationwide crackdown on gangsters with raids at 76 locations across eight states on Tuesday.. NIA raids 6 U.P. districts: Raids find terrorist-gangster-drug nexus; arms, 2.3cr seized",transnational_organization_crime,21
India News: The Central Bureau of Investigation (CBI) arrests four individuals involved in trafficking Indian youths to the Russia-Ukraine war zone under the guise of lucrative jobs. Learn more about the human trafficking racket and arrests.. Human Trafficking: 4 held for trafficking people to Ukraine war zone India News - Times of India,transnational_organization_crime,21
"The Spanish customs officers arrested a submarine from Colombia with more than 2 tons of cocaine, and wrote El Paris on Sunday, 24 November. According to the investigation, two persons of Ecuadorian origin were currently detained.. In Spain, a submarine with more than 2 tons of cocaine was intercepted",transnational_organization_crime,21
"In a joint effort between the Public Prosecutor's Offices of El Salvador and Guatemala, the Salvadoran police captured on Tuesday 11 people who were part of a human trafficking structure that charged up to $15,000 to the victims to illegally take them to the United States.Photo: courtesy/FGRThe Specialized Unit for Illegal Trafficking and Trafficking in Persons of the Public Prosecutor's Office reported in a press report that the traffickers, known as coyotes, took out their own. Human Trafficking Network Disarticulates in El Salvador that Charged Up to $15,000 per Travel to the USA",transnational_organization_crime,21
"Peruvian police broke up a network of trafficking in women on Thursday with the capture of 22 members of a faction of the Aragua Train, the criminal organization of Venezuelan origin that spread terror in several countries of South America with murders and extortions, according to authorities. The offensive against which is considered the most dangerous gang operating in Peru took place in several regions of the country.. Disarticulate the Aragua Train arm involved in trafficking in women in Peru",transnational_organization_crime,21
"Herlinda Bobadilla s recent detention in Honduras caused a multitude of questions about who this 61-year-old woman was, allegedly, a leader of one of Central America s leading drug cartels. Very little was publicly known about la Chinda, despite being considered head of a clan accused of shipping tons of cocaine through links with Mexican and Colombian cartels to the United States, a country that even offered a $5 million reward for information.. Like men, women are involved in drug trafficking and organized crime for power, money, adrenaline.",transnational_organization_crime,21
"Finally, the Spanish National Police announced the dismantling of a drug smuggling network, from Morocco, using Ukrainian-made drones. The Spanish security services revealed that the network itself was focusing its operations on routes close to occupied cities, such as Ceuta, noting that the innovative method of the network reflected the ability of criminal organizations to integrate advanced technology.. Seizure of Ukrainian drug traffickers",transnational_organization_crime,21
"In looking for information on trafficking nearly 25,000 million dollars, Dr. Ha Mustasta Kamal and his daughter, Nafisa Kamal, set himself on fire for the country's economy by former minister of the Awami League A Ha Musfah Kamal Kamal, Lofus Kamal, and his daughter Nafasa Kamal, according to the sources that led to the fall of the Dubai Empire with a huge amount of $25,000 (US$2.2 million. Lotus and his daughter's Dubai Empire, Bangladesh every day",transnational_organization_crime,21
"A 10 million foreign arrests were arrested by the Singapore police on $1.10 million for trafficking and fraud by US police, equivalent to $100 million (US$1.7 million), wealth, luxury and other resources, according to Reuters.. In Singapore, anti-trafficking campaign against Bangladesh daily",transnational_organization_crime,21
"The Delhi police has arrested two foreign nationals on the charges of human trafficking and pushing women into prostitution.They were held from North Goa s Candolim on Friday, the police said.The accused were identified as 36-year-old Turkmenistan national Aziza Tanrykulyyeva and 25-year-old Afghan national Sherget Afghan, alias Sher.Aziza was declared a proclaimed offender by several courts in Delhi and a non-bailable warrant for her arrest was issued in June this year, the police said, adding that Sher too was declared a proclaimed offender.The police said their location was traced to. Delhi police arrests two foreign nationals for human trafficking",transnational_organization_crime,21
"Rest of World News: Mexico and the United States have agreed to step up their efforts against fentanyl trafficking and their supply chains, along with Mexico's Sinaloa an. Fentanyl: US, Mexico agree to ramp up fight against fentanyl and arms trafficking - Times of India",transnational_organization_crime,21
"When 126 foreign nationals were held in a parking lot in the city of Ipiales, on the border between Colombia and Ecuador, the authorities captured the members of 'Los Coyotes', a criminal gang dedicated to the illegal trafficking of migrants.According to the criteria of MORE INFORMATIONRelated TopicsPrevious Cali 01:59 P.M. This would be the agenda of Prince Harry and Meghan Markle in Cali Medellín 12:17. What happened to 126 foreigners in the illegal smuggling of migrants by a gang in Nariño?",transnational_organization_crime,21
"Anti Narcotic Trafficking Police at the western province of Tlemcen have managed aborting the marketing of 31 yard of treated cannabis after conducting a night raid on a house located in Meghnia municipality, where 5 people were arrested, including three brothers, aged between 30 and 40 years old.. 3 Tons of Cannabis Smuggled From Morocco Sixed in Tlemcen",transnational_organization_crime,21
"BANGKOK: The Thai military killed five suspected drug traffickers in a jungle shootout in Thailandâ s north, officials said Friday -- the third such deadly clash in two months.The incident happened in the early hours of Thursday morning in Chiang Rai province which is near the infamous â Golden Triangleâ border region between Thailand, Laos and Myanmar -- long a lucrative hub for the illegal drug trade.A patrol encountered a group of five suspected smugglers with backpacks who refused to be searched and then started shooting with an unknown weapon, the military said.â Narcotics have been. Thai soldiers kill five suspected drug traffickers in jungle clash",transnational_organization_crime,21
"San Miguel's Special Judge ordered recess at the public hearing against 28 gang members, among them a leader in charge of ordering criminal acts in Guatemala, Mexico and the United States, the Prosecutor's Office reported yesterday. According to the authority, the hearing was suspended because the accused were not present, so it will continue on Monday, May 20, when only nine terrorists will be transferred, the rest will have the trial via videoconference.. Recess in case against gang members - La Prensa Gráfica",transnational_organization_crime,21
BSF head constable injured by 'drug smugglers' near Bangladesh border in TripuraBSF said the head constable was attacked at around 8.30am at Kalsimura area when he tried to stop a group of miscreants trying to smuggle contraband through the border.. BSF head constable injured by 'drug smugglers' near Bangladesh border in Tripura,transnational_organization_crime,21
"The case of human trafficking and human trafficking in Malaysia, including Yaba, is being discussed by police, as well as the illegal settlements of several Rohingyas in the district, which police are trying to prevent the public from doing drug trafficking with the people through social movements, like journalists at the Koxba District District Super Nathar District Hospital on Tuesday.. Mojtte with journalists",transnational_organization_crime,21
"On Wednesday, the Immigration Service launched its 5th wave of operations in Girandango, successfully breaking up a human trafficking ring and detaining 51 illegal immigrants. According to the Immigration Director, Roslin, the detainees included 39 males and 4 females, 2 Pakistani males, and 2 Thai females and boys from India.. Disruption of the Dan State Human Trafficking Group and detention of 51 illegal immigrants by immigration authorities",transnational_organization_crime,21
"Dutch police arrest suspected supplier of small boats to human traffickersA 44-year-old Turkish national was arrested on Wednesday after arriving at Amsterdam's Schiphol airport, Eurojust said, adding that the suspect is due to be extradited to Belgium to face charges of being involved in human trafficking as part of a criminal organisation.. Dutch police arrest suspected supplier of small boats to human traffickers",transnational_organization_crime,21
"Five ivory traffickers were arrested by the judicial police in possession of 10 tusks totaling 18 kg in Mouilla and Mandji. They are Jean-Yves Mbounga, Eric Mastiegui Fabrice Dissaguiba, all Gabonese, an Ivory Coast national Idriss Konat, and Amani Assoumi, Cameroonian.. The Judicial Police in Ngounie arrests ivory traffickers",transnational_organization_crime,21
"BALIK PULAU, Oct 22 Police raided a call centre involved in international online prostitution business that can rake in up to RM1 million in profits a month and detained 11 people at the Bayan Baru commercial centre, here on Friday.Barat Daya police chief Supt Kamarul Rizal Jenal said police detained five men and six women, aged between 21 and 65, during the 5.30pm raid on the centre, including the 33-year-old mastermind and his 65-year-old mother. Police raided the centre located on the third floor of the commercial centre, following complaints from the public and police surveillance.. Penang cops raid call centre involved in online prostitution, arrest 11 including mastermind",transnational_organization_crime,21
"BRUSSELS: The market for cocaine and methamphetamine is on the rise in Europe, an EU report said today, driven by record levels of trafficking and sparking violence and health issues.In 2020, the highest ever amount of cocaine â 214.6 tonnes â was seized in the EU, Norway and Turkey for the fourth consecutive year, according to the report by Europol and the European Monitoring Centre for Drugs and Drug Addiction (EMCDDA).The EU faces a â growing threat from a more diverse and dynamic drug market, which relies on close collaboration between European and international criminal. Report: Cocaine, meth at â record availabilityâ in EU",transnational_organization_crime,21
"There are also accounts of human trafficking and human trafficking, as well as the two accounts of human trafficking and Yabar smugglers, as well as of the two working centers of Myanmar's border ""Siesies"" came to the border of the border of Myanmar, as well as the police's Guard of the border of Bangladesh (BBBBB), the country's (BBBBC), and the local residents of Yaba.. The ship that transports human trafficking in the trailer is carrying yaba.",transnational_organization_crime,21
"Ovidio Guzmán, one of the sons of Mexican drug trafficker Joaquín ""el Chapo"" Guzmán, pleaded not guilty on Monday to the five charges he is charged with in the Chicago District Court (USA), including drug trafficking and money laundering, indicated U.S. media.The also known as ""the Mouse"" is accused of conspiring to distribute drugs, being part of a criminal enterprise, exporting narcotics to the United States, carrying out financial transactions. Ovidio Guzmán, son of Chapo, pleads not guilty to drug trafficking and money laundering - La Prensa Gráfica",transnational_organization_crime,21
"INQUIRER file photo / ALEXIS CORPUZMANILA, Philippines The Bureau of Immigration (BI) has taken under custody a suspected Chinese mafia member who was allegedly involved in human trafficking, the BI chief announced on Thursday.Cheng posted bail after six days but the BI intervened. Our operatives immediately arrested him after learning that he was about to post bail, as he is also wanted by the BI for violating immigration laws, said Immigration Commissioner Norman Tansingco.FEATURED STORIESNEWSINFOTeves ready to return to PH, face accusations but NEWSINFOMarcos admits not finishing. Suspected Chinese mafia involved in human trafficking now under BI custody",transnational_organization_crime,21
"The Ministry of National Security detected more than 35 kilograms of drugs from Iran to Azerbaijan. The Ministry of National Security of Azerbaijan prevented the illegal transportation of more than 35 kilograms of 500 grams of narcotics to the territory of Azerbaijan through smuggling from Iran, i.e., crossing the customs border beyond customs control.. The Ministry of National Security has detected more than 35 kilograms of narcotics that were transported from Iran to Azerbaijan",transnational_organization_crime,21
"PORT KLANG: The General Operations Force (GOF) Central Brigade arrested seven foreign boat skippers, who had used Malaysian-registered fishing boats in their attempt to smuggle in immigrants in Sekinchan waters, near here earlier this week.Its commander SAC Muhammad Abdul Halim said based on intelligence, the GOF found that syndicates were using registered local fishing boats as the latest tactic to smuggle in immigrants.â Two Myanmar nationals and five Indonesian skippers believed to be the masterminds of the syndicate and who were using Class B and C local boats in the Straits of Malacca. Migrant smugglers using local fishing boats tactic nabbed in Sekinchan waters",transnational_organization_crime,21
"The Court ordered the death penalty for the 13 million Yaba trafficking cases from Myanmar on the sea, including a Rohingya each of the Rohingya, each with $55,000 (US$5,830) verdict on Wednesday, 12pm today, on Wednesday, at the request of the District and Daj Ismail, who are a resident of the Rohingya camp in Kaxkkha.. The death toll of 4 including the Rohingya on 13 million Yaba trafficking cases in the Cox market",transnational_organization_crime,21
"The symbolic image, which was smuggled into India, was detained by BB, along with a motorcycle, as the son of Imaduddin, from Rafikul Islam Bubru (40), a village in Odila s Odile district, was detained on Monday by the Odilpur Obpur area of Odilepur, the poison of Obpur, which is the value of the motorcycle, and the price of the motorcycle for the. One detained with snake poison at the breakurpur border Bangladesh every day",transnational_organization_crime,21
"Their names are kept under reserve, but two organizations dedicated to transnational crime are targeted by the Attorney General's Office of the Nation and Bolivian authorities.This was recorded in a meeting held in La Paz Bolivia, in which the Attorney General, Francisco Barbosa, told his counterpart in that country, Juan Lanchipa Ponce, that he wanted to work together to eradicate crime in both countries.(We recommend: So he fell.. Prosecutor's Office Tracks Transnational Crime Networks in Colombia and Bolivia",transnational_organization_crime,21
"The National Civil Police (PNC) today presented the three Ecuadorians who were captured yesterday by the Salvadoran Naval Force.Of the three captured, identified as Fabricio Vásquez Casier, Pablo Aguilar and Rony Solís, one has a history in Ecuador for drug trafficking, indicated the Anti-Narcotics Division (DAN) of the PNC.The authorities did not specify who.They were seized on the coasts of the East 280 kilos of. PNC presents Ecuadorians captured for trafficking 280 kilos of cocaine - La Prensa Gráfica",transnational_organization_crime,21
"Gang leader busted for smuggling firearms from the United States to Haiti.WASHINGTON, DC, United States (CMC) The United States Department of Justice (DOJ) says Joly Germine, described as the King of a violent Haitian gang, has been sentenced to 420 months in prison for his role in smuggling firearms to Haiti in violation of US export laws.The DOJ said Germine, 31, of Croix-des-Bouquets, Port-au-Prince, Haiti, was also jailed for laundering of ransoms paid for US hostages held by the notorious Haitian gang 400 Mawozo. As leader of the Haitian gang known as 400 Mawozo, Germine will now. Notorious Haitian gang leader gets 35 years in jail",transnational_organization_crime,21
"Angolan authorities detained a Chinese citizen in Luanda, who allegedly recruited young nationals to work abroad, notably in Portugal, with wages promises of up to $1,500 (EUR 1,400), said today the Criminal Investigation Service (SIC).According to a press release from SIC, the 44-year-old Chinese citizen was arrested in flagrante delicto,. Chinese who encouraged Angolans with promise of work in Portugal detained by human trafficking",transnational_organization_crime,21
"KOTA KINABALU: There is a need to increase border security if the elephant tusk seized at Nunukan port in North Kalimantan originated from Sabah.Sabah Tourism, Culture and Environment Minister Datuk Seri Masidi Manjun said a DNA testing must be done to prove that the tusk was from Sabah.""I have already asked my officers to get in touch with their Indonesian counterparts. But DNA sampling takes time.""So we will wait for the results from investigations to establish whether the tusk comes from Malaysia or other countries,"" he told reporters after chairing the Malaysia Day 2017 main committee. DNA test needed to prove elephant tusk smuggled from Sabah'",transnational_organization_crime,21
"21-year-old Himanshu aka Bhau, with Interpol red notice in Portugal, is a notorious gangster linked to shootings in Dwarka and at Gulshan Dhaba. His c. 21-year-old gangster: Portugal-based Bhau latest headache for Delhi cops Delhi News - Times of India",transnational_organization_crime,21
"The Caravan.kz media portal reports this with reference to an official press release. As reported on Tuesday by the Press Service of the Ombudsman for Human Rights in the Republic, the Kazakh Ombudsman received reports of illegal deprivation of liberty, exploitation and ill-treatment by the owners of the network of trade establishments in Moscow, who are former citizens of the Republic, against the citizen of Kazakhstan, N. Ibrahimov, a female employee of one of these facilities.. Former Kazakhs could establish a scheme of slavery in Russia - Ombudsman - News - Caravan",transnational_organization_crime,21
